pmcid,methods_materials,definitions_diagnosis_ranges,clusion_criteria,formula,misc
PMC4738205,The pens were shipped under cool conditions (36-46°F) and stored both unopened and while in use as indicated in the Information for Users for each pen type.,0,0,0,0
PMC4738205,An overview of the tested pens and corresponding injection needles is listed in Table 1. Needles were applied according to the manufacturers’ instruction leaflet.,0,0,0,0
PMC4738205,"Table 1.Insulin Pens and Corresponding Needles Included in This Study.Insulin penManufacturerBatchInsulinNeedlesSoloSTARSanofi2F082AGlulisine (Apidra®)BD Micro-Fine (0.25 mm [31G] × 5 mm)FlexTouchNovo NordiskAP51446Aspart (NovoRapid®)NovoFine (0.25 mm [31G] × 6 mm)Dosing accuracy was determined as described previously by Bohnet et al,7 except that the dosing scheme comprised 1 single measurement of each target dose per pen according to ISO 11608-1:2012 requirements.12 Consequently, instead of 30 pens as per the former ISO standard,13 60 pens of each pen type were investigated.",0,0,0,0
PMC4738205,"Furthermore, each target dose was delivered from the front one-third, middle one-third, and rear one-third of the pen cartridge with a corresponding transfer step in between the doses (Figure 1).",0,0,0,0
PMC4738205,Figure 1.Dosing scheme according new ISO 11608-1:2012.,0,0,0,0
PMC4738205,"Target doses of 1 U (minimum), 40 U (middle), and 80 U (maximum) were ejected and measured for each pen.",0,0,0,0
PMC4738205,All measurements were performed by a single investigator to eliminate potential investigator variability.,0,0,0,0
PMC4738205,The individual insulin pens were operated according to each manufacturer’s instruction leaflet.,0,0,0,0
PMC4738205,"The plunger was kept depressed after each dose for 10 seconds and 6 seconds for SS and FT, respectively, to ensure that the entire dialed dose had been expelled.",0,0,0,0
PMC4738205,Each dose was deposited in a beaker containing a 0.5-1 cm layer of liquid paraffin.,0,0,0,0
PMC4738205,"The dose was weighed immediately using an analytical balance (XP205/M, Mettler Toledo AG, Gießen, Germany) with an accuracy of 0.00001 g. The balance was zeroed before each dose of insulin was deposited and weighed.",0,0,0,0
PMC4738205,Weights were corrected for the relative density of each insulin formulation (1.0066 for insulin aspart; 1.0072 for insulin glulisine).,0,0,0,0
PMC4738205,"For each dose application, a new injection needle was used and an air shot included before the injection.",0,0,0,0
PMC4738205,"The arithmetic average of the actual doses was calculated, as well as the standard deviation, the average deviation (percentage) from the target dose, and the statistical tolerance interval.",0,0,0,0
PMC4738205,"The evaluation of dose accuracy was based on the guidelines of the ISO 11608-1:2012,12 allowing a deviation not more than ± 1 U at the 1 U (0-2 U) dosage level, ± 5% (± 2 U) at the 40 U (38-42 U) dosage level, and ± 5% (± 4 U) at the 80 U (76-84 U) dosage level.",0,0,0,0
PMC4738205,"In addition, the calculated statistical tolerance interval for each pen should lay within the specified upper and lower acceptance limits for each target dose by using a 95% confidence interval and probability content of P = .975 for 60 measurements.12",0,0,0,0
PMC4738205,"To compare the dose accuracy of SS and FT, statistical analysis was performed using Student’s t test.",0,0,0,0
PMC4738205,A P value < .05 was considered to be statistically significant.,0,0,0,0
PMC6834837,"METHODSData source and participantsThis study utilized data from the Korea National Health and Nutrition Examination Survey (KNHANES), collected in 2013 to 2015 (IRB no.: 2013-07CON-03-4C and 2013-12EXP-03-5C).",0,0,0,0
PMC6834837,"In male participants over 20 years of age, subjects with free thyroxine (FT4) or thyrotropin (TSH) concentrations outside the reference range, diabetic values of FPG or HbA1c, or a past history of thyroid disease or diabetes were excluded.",0,1,0,0
PMC6834837,"Subjects with no or incomplete data for thyroid hormone, fasting glucose, or HbA1c concentrations were also excluded.",0,1,0,0
PMC6834837,"Following this, 2,399 euthyroid non-diabetic male were enrolled.",0,0,0,0
PMC6834837,All the survey participants gave their written informed consent.,0,0,0,0
PMC6834837,"Measurements of biochemical and clinical parametersSerum TSH, FT4, and thyroperoxidase (TPO) antibody concentrations were measured using electrochemiluminescence immunoassays (Roche Diagnostics, Mannheim, Germany).",0,0,0,0
PMC6834837,"TSH was measured using an E-TSH kit (Roche Diagnostics), for which the reference range was 0.35 to 5.50 mIU/L.",0,0,0,0
PMC6834837,"FT4 was measured using an E-Free T4 kit (Roche Diagnostics), with a reference range of 0.89 to 1.76 ng/mL.",0,0,0,0
PMC6834837,"HbA1c concentration was measured using high-performance liquid chromatography (HLC-723G7; Tosoh, Tokyo, Japan), and serum FPG using a Hitachi Automatic Analyzer 7600 (Hitachi, Tokyo, Japan).",0,0,0,0
PMC6834837,"Impaired fasting glucose (IFG) was defined by a FPG of >100 to 125 mg/dL, and a high-risk HbA1c concentration was defined as a HbA1c of 5.7% to 6.4% [11].",1,0,0,0
PMC6834837,Prediabetes was defined by the presence of IFG or a high-risk HbA1c concentration.,1,0,0,0
PMC6834837,Waist circumference (WC) was measured standing with a soft tape-measure placed midway between the lowest rib and the iliac crest.,0,0,0,1
PMC6834837,"Blood pressure (BP) was measured using a cuff on the right arm attached to a mercury sphygmomanometer (Baumanometer; W. A. Baum, Copiague, NY, USA).",0,0,0,0
PMC6834837,"Serum total cholesterol, high density lipoprotein cholesterol (HDL-C), and triglyceride (TG) were measured using a Hitachi Automatic Analyzer 7600 (Hitachi).",0,0,0,0
PMC6834837,Metabolic syndrome was defined according to the criteria of the American Heart Association [12].,1,0,0,0
PMC6834837,"Urine iodine concentrations were measured in random spot urine samples using inductively coupled plasma mass spectrometry (Perkin Elmer, Waltham, MA, USA).",0,0,0,0
PMC6834837,Demographic and personal medical data were collected using standardized health questionnaires.,0,0,0,0
PMC6834837,"These data included any past history of hypertension (HTN) or hyperlipidemia, family history of diabetes or thyroid disease, history of alcohol consumption, and smoking history.",0,0,0,0
PMC6834837,"Statistical analysesAll continuous data are presented as mean±standard deviation, and all categorical data as numbers and percentages.",0,0,0,0
PMC6834837,The tertiles were compared with regard to baseline characteristics using analysis of variance or chi-square tests.,0,0,0,0
PMC6834837,"Analysis of covariance was used to estimate the mean FPG and HbA1c values for each tertile, after adjustment for multiple variables.",0,0,0,0
PMC6834837,Multivariable logistic regression models were used to estimate the prevalence of prediabetes in each tertile.,0,0,0,0
PMC6834837,"For all statistical tests, P<0.05 was considered to be statistically significant.",0,0,0,0
PMC6834837,"Statistical analysis was performed using SPSS version 18.0 software (SPSS Inc., Chicago, IL, USA).",0,0,0,0
PMC5469089,MethodsStudy designThe study was designed as case control study.,0,0,0,0
PMC5469089,"Study populationThe study groups comprised 60 normal-weight women newly diagnosed with PCOS (age 18–37 years) and 60 healthy, no hirsute volunteers (age 18–40 years) with regular and proven ovulatory cycles.",0,0,0,0
PMC5469089,A sample size of 60 patients per group would have provided 80% power using a type 1 error rate of 0.05.,0,0,0,0
PMC5469089,We defined normal weight as BMI between 18.50 and 24.99 kg/m2 according to the World Health Organization criteria.,1,0,0,0
PMC5469089,"PCOS was diagnosed using the Rotterdam criteria comprising the presence of at least two of the following three features: anovulation/menstrual irre- gularity, clinical and/or biochemical signs of hyperandrogenism, or presence of polycystic ovaries after exclusion of other etiologies (7).",1,0,0,0
PMC5469089,Hirsutism was defined as a modified Ferriman–Gallwey score ≥8 (7).,1,0,0,0
PMC5469089,"Exclusion criteria for the study were as follows: (i) a BMI of <18.5 or ≥25 kg/m2, (ii) waist circumference of >88 cm, (iii) any arrhythmia, (iv) smoking or alcohol abuse, (v) drug usage affecting autonomic balance or interfere with hormonal levels, (vi) a systemic disorder affecting autonomic modulation, and (vii) IR or diabetes mellitus.",0,1,0,0
PMC5469089,Written informed consent was obtained from all the subjects prior to inclusion into the study.,0,0,0,0
PMC5469089,"Our study complies with the World Health Organization Declaration of Helsinki and the World Psychiatric Association, Good Clinical Practices, and Good Laboratory Practice rules.",0,0,0,0
PMC5469089,An independent Ethics Committee approved the study protocol.,0,0,0,0
PMC5469089,"Anthropometric measuresAnthropometric measurements including weight, height, waist circumference, and hip circumference were obtained.",0,0,0,0
PMC5469089,The height of the subjects was measured by portable stadiometers.,0,0,0,0
PMC5469089,Body weight was measured by trained healthcare professionals with participants standing without shoes in light indoor clothing using a digital scale.,0,0,0,0
PMC5469089,Waist circumference was measured midway between the lowest border of the rib cage and the upper border of the iliac crest at the end of normal expiration.,0,0,0,1
PMC5469089,Hip circumference was measured at the widest part of the hip at the level of the greater trochanter.,0,0,0,1
PMC5469089,BMI was calculated as the ratio of body weight in kilograms to the square of the height in meters.,0,0,1,0
PMC5469089,AssayMetabolic and hormonal assessments were made between days 2 and 10 of the menstrual cycle or on any day if the woman was amenorrheic.,0,0,0,0
PMC5469089,"After an overnight 12-h fasting, venous blood samples were obtained between 9 and 10 am.",0,0,0,0
PMC5469089,"Serum glucose, total cholesterol, high-density lipoprotein cholesterol, low-density lipoprotein cholesterol, and triglyceride levels were measured using the Beckman Coulter AU680 analyzer (Beckman Coulter, Miami, FL, USA) based on enzymatic colorimetric met- hods using original assay reagents (Beckman Coulter, Miami, FL, USA).",0,0,0,0
PMC5469089,"Serum hormone levels were measured using the Beckman Coulter UniCel DxI 800 immunoassay analyzer (Beckman Coulter, Miami, FL, USA) by chemiluminescence immunoassay using original assay reagents (Beckman Coulter, Miami, FL, USA).",0,0,0,0
PMC5469089,The insulin level in serum was measured using a radioimmunoassay method.,0,0,0,0
PMC5469089,IR was measured using the homeostatic model assessment (HOMA-IR):fasting insulin (µIU/mL) ´ fasting glucose (mg/dL)/405.,0,0,0,0
PMC5469089,IR was defined as an HOMA-IR score higher than 2.7.HRV analysisThe study was conducted during the follicular phase of the menstrual cycle in control subjects to avoid the influence of ovarian hormones on autonomic function and HRV (8).,1,0,0,0
PMC5469089,"In the PCOS group, the test was conducted during the amenorrheic period (9).",0,0,0,0
PMC5469089,Participants were evaluated in the morning following at least 8 h sleeping and after having a light breakfast free of caffeine-containing beverages.,0,0,0,0
PMC5469089,"To test the change in sympathetic and parasympathetic parameters of HRV, isometric handgrip exercise and controlled breathing was used.",0,0,0,0
PMC5469089,"After an adaptation period for at least 15-min rest in supine position, electrocardiograms were recorded to calculate HRV parameters for the following 3 periods: (1) during rest in supine position for 5 min, (2) during controlled respiration (15 breaths per minute) in supine position for 5 minutes, and (3) during handgrip exercise in sitting position for 5 min by an investigator blinded to the patient’s status.",0,0,0,0
PMC5469089,"Between each 5-minute recording period, it was left for 5 min to prevent the effect of potential rapid changes in the heart rate on HRV analysis.",0,0,0,0
PMC5469089,"Participants performed an isometric handgrip exercise at 25% of their predetermined maximum volunteer capacity in a manner of 45-s contraction and 15-s resting per minute using the Jamar hydraulic hand dynamometer (Sammons Preston, Bolingbrook, IL, USA).",0,0,0,0
PMC5469089,Blood pressure measurements were obtained using a sphygmomanometer after each period.,0,0,0,0
PMC5469089,"Electrocardiographic data were transferred to a computer and digitalized via an analog-to-digital conversion board (Norav Medical Ltd., Yokneam, Israel).",0,0,0,0
PMC5469089,"Both time and frequency domain of HRV analysis were performed using the HRV Software (Norav Medical Ltd., Yokneam, Israel).",0,0,0,0
PMC5469089,"Mean of RR intervals (mean RR), standard deviation of R–R interval (SDNN), and the root mean square of successive R–R interval differences (RMSSD) were measured by assessing time domain parameters.",0,0,0,0
PMC5469089,Time domain parameters generally reflect the total HRV.,0,0,0,0
PMC5469089,"Extremely low values indicate autonomic dysfunction, whereas higher values for these measures could reflect a more healthy autonomic function.",0,0,0,0
PMC5469089,"For the frequency domain parameters, power spectral analysis based on the fast Fourier transformation algorithm was used.",0,0,0,0
PMC5469089,Two components of power spectrum were computed with the following bandwidths: high frequency (HF) (0.15–0.4 Hz) and low frequency (LF) (0.04–0.15 Hz).,0,0,0,0
PMC5469089,"The LF–HF ratio and the normalized unit of LF (LFnu) and HF (HFnu) were also calculated [LFnu=LF/(LF+HF), HFnu=HF/(LF+HF)].",0,0,0,0
PMC5469089,"HF, HFnu, and RMSSD represent the cardiac parasympathetic drive (10).",0,0,0,0
PMC5469089,LF and LFnu represent both sympathetic and vagal influences (10).,0,0,0,0
PMC5469089,The LF–HF ratio depicts the sympathovagal balance (10).,0,0,0,0
PMC5469089,"SDNN reflects slow heart rate fluctuations; thus, it is considered as a marker of overall autonomic modulation.",0,0,0,0
PMC5469089,"Statistical analysisStatistical analysis was performed using SPSS version 22.0 for Windows statistical software (IBM SPSS Statistics, Chicago, IL, USA).",0,0,0,0
PMC5469089,The results for variables were expressed as mean±standard deviation or median with interquartile range (25th and 75th percentiles) for continuous variables.,0,0,0,0
PMC5469089,The diffe- rences between groups were compared using Student’s t-test for normally distributed data and Mann–Whitney U test for non-parametric data.,0,0,0,0
PMC5469089,Pearson’s coefficient of correlation was used to determine correlations between serum testosterone level and HRV indices.,0,0,0,0
PMC5469089,"For comparing repeated variables within groups, two-way repeated measurements analysis of variance (ANOVA) test (2:3 factorial design) was used for normally distributed data and Friedman’s two-way ANOVA test was used for non-parametric data.",0,0,0,0
PMC5469089,"For all analyses, p<0.05 was considered statistically significant.",0,0,0,0
PMC4511300,"Materials and MethodsParticipantsHealthy volunteers aged between 20 and 65 years were recruited, and 94 individuals (48 men and 46 women) were enrolled in the present cross-sectional study.",0,1,0,0
PMC4511300,The examinations were carried out in February 2013.,0,0,0,0
PMC4511300,Written informed consent was obtained from all the participants to use their health records for analysis.,0,0,0,0
PMC4511300,"The present study was approved by the Ethical Committee of Tokai University, and was carried out in accordance with the Declaration of Helsinki.",0,0,0,0
PMC4511300,Anthropometric MeasurementsAll measurements were carried out after overnight fasting.,0,0,0,0
PMC4511300,"Height and weight were measured in the standing position, and BMI was calculated as weight/height2 (kg/m2).",0,0,1,1
PMC4511300,"Waist circumference was assessed at the end of expiration, measuring the minimum circumference at the level of the umbilicus.",0,0,0,1
PMC4511300,Blood pressure (BP) was measured in the sitting position.,0,0,0,0
PMC4511300,Visceral and subcutaneous fat area was measured at the level of the umbilicus in the spine position using computed tomography.,0,0,0,0
PMC4511300,"Bioelectrical impedance analysis (Inbody 720; Biospace Co., Ltd., Tokyo, Japan) was used for evaluating body fat mass, fat-free mass and percentage body fat.",0,0,0,1
PMC4511300,Biochemical MeasurementsFasting serum immunoreactive insulin was measured by chemiluminescent enzyme immunoassay (CLEIA).,0,0,0,1
PMC4511300,Glycated hemoglobin (HbA1c) was determined by the latex agglutination immunoassay.,0,0,0,1
PMC4511300,HOMA-IR was calculated as: fasting plasma glucose (in mg/dL) × insulin (in mU/mL)/40520.,0,0,1,0
PMC4511300,HOMA-IR ≤ 1.6 was considered as non-insulin-resistant according to the definition of the Japan Diabetes Society21.,1,0,0,0
PMC4511300,"Low-density lipoprotein cholesterol (LDL-C) was measured directly, and high-density lipoprotein cholesterol (HDL-C) and triglycerides were determined enzymatically.",0,0,0,1
PMC4511300,Leptin was measured by double antibody radioimmunoassay.,0,0,0,1
PMC4511300,High molecular adiponectin was measured using the CLEIA method.,0,0,0,1
PMC4511300,High-sensitivity C-reactive protein (hsCRP) was measured by turbidimetric immunoassay.,0,0,0,1
PMC4511300,Plasma amino acid concentrations were measured by liquid chromatography/mass spectrometry (LC/MC).,0,0,0,1
PMC4511300,"Of 39 amino acids measured (taurine, aspartic acid, hydroxyproline, threonine, serine, asparagine, glutamic acid, glutamine, sarcosine, α-aminoadipic acid, proline, glycine, alanine, citrulline, α-aminobutyric acid, valine, cysteine, cystathionine, methionine, isoleucine, leucine, tyrosine, phenylalanine, γ-amino β-hydroxybutyric acid, β-alanine, β-amino-iso-butyric acid, γ-aminobutyric acid, monoethanolamine, homocysteine, histidine, 3-methylhistidine, 1-methylhistidine, carnosine, anserine, tryptophan, hydroxylysine, ornithine, lysine, arginine), 20 amino acids were at detectable levels and eligible for analysis.",0,1,0,0
PMC4511300,"Levels of total amino acid (total AA), non-essential amino acid (NEAA), EAA and BCAA were also obtained and used for analysis.",0,0,0,0
PMC4511300,"Statistical AnalysesData are expressed as mean ± SD. SPSS Statistics (version 22.0; SPSS Inc., Chicago, IL, USA) was used for the statistical analyses.",0,0,0,0
PMC4511300,Pearson's correlation coefficient was calculated as a measure of association.,0,0,0,0
PMC4511300,Statistical significance of comparisons between the HOMA-IR ≤ 1.6 group and HOMA-IR > 1.6 group was determined by the chi squared-test or Student's t-test.,0,0,0,0
PMC4511300,"All P-values were two-tailed, and P < 0.05 was considered significant.",0,0,0,0
PMC5331374,"MethodsThirty-four consecutive patients diagnosed with CSX who had normal coronary arteries on angiography, which was performed because ischemic signs were observed on an exercise stress test, were included in the present study.",0,1,0,0
PMC5331374,Forty-one consecutive healthy subjects with normal coronary arteries on angiography that had no ischemic change during an exercise stress test were included as controls.,0,1,0,0
PMC5331374,"The inclusion criteria for the CSX group were typical angina, a positive exercise ECG stress test, and angiographically documented normal coronary arteries.",0,1,0,0
PMC5331374,"The exclusion criteria for the CSX and control groups were as follows: patients who had hypertensive heart disease with left ventricular hypertrophy, valvular heart disease, idiopathic hypertrophic or dilated cardiomyopathy, acute or chronic inflammatory diseases, history of myocarditis and vasculitis, spondyloarthritis, Tietze's syndrome, gastrointestinal tract diseases, diseases of the aorta, hormone replacement therapy, arrhythmias, active hepatobiliary disease, or alcohol consumption.",0,1,0,0
PMC5331374,"All participants signed their informed consent form before attending the study, and the Local Ethics Committee approved the study protocol.",0,0,0,0
PMC5331374,All participants underwent a complete physical examination and routine laboratory analysis before the study.,0,0,0,0
PMC5331374,"Treadmill exercise stress testingAll treadmill exercise tests were conducted according to the Bruce protocol using a T600 Treadmill (Spacelabs Burdick, WI 53531, USA).",0,0,0,1
PMC5331374,"Three ECG leads (V2, V5, and aVF) were continuously monitored during these tests.",0,0,0,0
PMC5331374,A standard 12-lead ECG print was obtained.,0,0,0,0
PMC5331374,Total exercise times were recorded in all cases.,0,0,0,0
PMC5331374,Electrocardiographic recovery was also continuously monitored until the depressed ST-segment returned to baseline levels.,0,0,0,0
PMC5331374,"A positive treadmill test was defined by the occurrence of ischemic ST-segment depression (≥1.0 mm horizontal or downsloping depression at 80 ms from the J point) in at least two contiguous leads (usually II, III, aVF, or V3–6) on ECG during the treadmill exercise test.Cardiac catheterizationCoronary angiography was performed using the Judkins technique in all patients (Philips Medical Systems Integris H 3500 and 5000).",1,0,0,0
PMC5331374,Coronary arteries were classified as normal based on the absence of any luminal irregularity in a visual assessment.,1,0,0,0
PMC5331374,"To exclude the possibility of coronary artery vasospasm, all patients underwent a hyperventilation test during coronary angiography, which was performed by asking the patients to breathe quickly and deeply for 5 min.",0,1,0,0
PMC5331374,"EchocardiographyA transthoracic echocardiographic study was performed using a Philips IE-33 machine with a broadband S5-1 transducer (Philips, Bothell, USA).",0,0,0,1
PMC5331374,"Left atrial (LA), LV end-systolic, and LV end-diastolic diameters were obtained from 2-D images.",0,0,0,1
PMC5331374,LV ejection fraction (LVEF) was determined using Simpson's rule.,0,0,1,0
PMC5331374,Transmitral pulsed-wave Doppler velocities were obtained from the apical 4-chamber view with the sample volume placed just below the mitral leaflet tips.,0,0,0,1
PMC5331374,"We measured early (E) and late (A) wave velocities, E/A ratio, E deceleration time (DT), and isovolumetric relaxation time (IVRT).",0,0,0,1
PMC5331374,"TDI of the mitral annulus was obtained by placing the sample volume at the septal mitral annulus, and peak myocardial systolic (Sm), peak early diastolic (Em), and peak late diastolic (Am) myocardial velocities, as well as E/Em and Em/Am ratios, were measured.",0,0,0,1
PMC5331374,2-D speckle tracking analyses were performed on grayscale images of the left ventricle obtained in the apical 4-chamber views and short-axis mid-ventricular views.,0,0,0,1
PMC5331374,Three consecutive end-expiratory cardiac cycles using high frame rate (≥50 Hz) harmonic imaging in each echocardiographic view were acquired.,0,0,0,1
PMC5331374,"Resultant data were analyzed using 2-D speckle-tracking software (TMQA, Q-lab, Philips).",0,0,0,1
PMC5331374,A single cardiac cycle in which an apical 4-chamber view in the end-diastolic frame was used for analysis.,0,0,0,1
PMC5331374,Septal and lateral references points on the mitral annulus and apical endocardium were manually selected.,0,0,0,1
PMC5331374,"After initialization, the program positioned those references points at equal distances on the endocardial surface of the LV cavity.",0,0,0,0
PMC5331374,"Later, the target area was analyzed automatically via the software according to a 7-segment model.",0,0,0,1
PMC5331374,Visual assessment of the speckle tracking together with manual fine adjustments was performed if necessary.,0,0,0,0
PMC5331374,The software automatically divided the target area into equal segments from which mean longitudinal and circumferential strains were determined.,0,0,0,0
PMC5331374,"Longitudinal strain was measured from the basal septum, mid-septum, apical septum, apex, apicolateral, mid-lateral, and basal lateral wall segments.",0,0,0,1
PMC5331374,"Circumferential strain was measured from the anteroseptal, anterior, anterolateral, inferolateral, inferior, and inferoseptal walls.",0,0,0,1
PMC5331374,"Three-dimensional echocardiographyLVEF was measured using real-time three-dimensional echocardiography (3-DE) by obtaining a matrix-array full-volume dataset (X3, ie33, Philips Medical Systems, MA, USA).",0,0,0,1
PMC5331374,"Using an offline analysis program (Qlab, Philips Medical Systems), conventional 4-chamber, 2-chamber, and short-axis views were derived from this dataset.",0,0,0,0
PMC5331374,"After the selection of two annular and apical reference points, a 3-DE endocardial shell was built using semi-automated contour tracing.",0,0,0,1
PMC5331374,"Statistical analysisAll statistical analyses were performed using SPSS software, version 17.0 (SPSS Inc., Chicago, IL, USA).",0,0,0,0
PMC5331374,"Continuous variables were presented as means±standard deviation (SD), and categorical variables were presented as numbers and percentages.",0,0,0,0
PMC5331374,All data were tested for normality with the Shapiro–Wilk test.,0,0,0,0
PMC5331374,Between-group comparisons of categorical data were achieved with chi-square or Fisher's exact tests.,0,0,0,0
PMC5331374,"Between-group comparisons of parametric and nonparametric continuous data were conducted using unpaired Student's t-test and Mann–Whitney U test, respectively.",0,0,0,0
PMC5331374,A two-tailed p value of <0.05 was considered statistically significant.,0,0,0,0
PMC2858204,ProceduresPatients were stratified based upon arterial toe blood pressure (≤35 mmHg vs. >35 mmHg) before being randomly assigned to either of the treatment arms.,0,0,0,1
PMC2858204,Randomization was done in blocks of 10 using sealed envelopes.,0,0,0,1
PMC2858204,The study was performed in an ambulatory setting.,0,0,0,1
PMC2858204,Treatment sessions were given in a multi-place hyperbaric chamber five days per week for eight weeks (40 treatment sessions).,0,0,0,1
PMC2858204,"The treatment period could be extended to 10 weeks, but the number of treatments was not allowed to exceed 40.",0,0,0,0
PMC2858204,"An HBOT session included a period of compression in air for 5 min, followed by a treatment period at 2.5 atmospheres absolute (ATA) for 85 min, and then a decompression period of 5 min.",1,0,0,0
PMC2858204,Patients from both groups could be treated in the same session as study gases were administered by masks and air or 100% oxygen entered the chamber through separate double-blinded pipes (19).,0,0,0,1
PMC2858204,"Study treatment was given as an adjunct to regular treatment at the multidisciplinary diabetes foot clinic, which included treatment of infection, revascularization, debridement, off-loading, and metabolic control according to high international standards (18).",0,0,0,1
PMC2858204,Investigators did not intervene in the daily routine clinical management of the patients.,0,0,0,0
