Study,Country/Region,Prediabetes definition,Sample size,% Female,Mean Age or Age Range (y),Follow-up (y),Outcome(s) of interest,Notes
Silbernagel 2011,Germany,IFG (ADA),3316,29.40%,61.8,7.5,"All-cause mortality, CVD mortality",
Ares 2019,Spain,"IGT, IFG (ADA), HbA1c (ADA)",1034,54.30%,52.1,18,"All-cause mortality, CVD mortality",
Chattopadhyay 2019,United Kingdom,"IFG (ADA), IGT",850,29%,63.6,2.8,CVD event,
Chen 2018,China,IFG (ADA),587,34%,64.9,7,"All-cause mortality, CVD mortality",
de Abreu 2017,Australia,IFG (ADA),1167,100%,48.6,10,All-cause mortality,
Fang 2019,China,IGT,460,0%,72.1,11.2,"All-cause mortality, CVD events, CHD, stroke, heart failure",
Doi 2010,Japan,"IFG (WHO), IGT",2421,57%,57.6,14,stroke CHD,
Fisman 2001,Israel,IFG (WHO),"11,853",18%,59.7,7.7,"All-cause mortality, CVD mortality",
George 2015,United Kingdom,IGT,768,29%,65.4,3.9,"All-cause mortality, CVD mortality, CVD events, CHD",
Hajebrahimi 2017,Iran,"IFG (ADA), IGT",7249,54%,46.8,11.3,CVD events,
Hermanides 2019,Netherlands,HbA1c (ADA),7900,38%,65.8,4.3,All-cause mortality,
Hubbard 2019,USA,"IFG (ADA), HbA1c (ADA)",3313,63%,53.1,11.1,"All-cause mortality, CVD events, CHD, stroke, heart failure",
Janszky 2009,Sweden,IFG (ADA),1167,30%,59.4,8,"All-cause mortality, CVD mortality, stroke, heart disease, heart failure",
Jiang 2020,China,"IFG (ADA), IFG (WHO), IGT, HbA1c (ADA), HbA1c (IEC)",17939,73%,65.2,7.8,"All-cause mortality, CVD mortality",
Khang 2010,South Korea,IFG (ADA),9791,55%,43.2,5.8,"CVD, stroke, heart disease",
Kim 2019,South Korea,"IFG (WHO), IGT, HbA1c (ADA)",7728,47.40%,52,9,CKD,
Kowall 2011,Germany,"IFG (WHO), IGT",1653,48%,64.1,10,All-cause mortality,
Liu 2018,China,"IFG (ADA), IGT, HbA1c (ADA)",4193,28.20%,57.7,6.7,CVD events,
Liu 2007,China,IFG (ADA),30378,47%,46.4,10,"CVD events, CHD, stroke",
Lu 2019,China,"IFG (ADA), IGT, HbA1c (ADA)",193846,66%,56.6,3.8,"All-cause mortality, CVD events",
Ma 2012,South Korea,IFG (ADA),16048,60%,55.7,9,CVD mortality,
Michishita 2017,Japan,IFG (WHO),303,0%,52.2,6,CKD,
Palmieri 2006,Italy,IFG (WHO),20447,63.60%,50.4,10.4,CHD,
Parizadeh 2019,Iran,"IFG (ADA), IFG (WHO), IGT",6892,50%,46.67,12,"All-cause mortality, stroke, CHD, CKD",
Pavlovic 2019,Serbia,"IFG (ADA), IGT",150,12%,57,2.1,"All-cause mortality, CVD mortality",
Robich 2019,USA,HbA1c (ADA),5415,23%,N/A,2.6,All-cause mortality,
Rutten-Jacobs 2014,Netherlands,IFG (ADA),427,55%,40.3,10.1,"CVD events, Stroke",
Samaras 2015,Australia,IFG (ADA),945,54%,78.6,2,"All-cause mortality, heart disease, stroke",
Stacey 2019,USA,"IFG (ADA), IGT",4355,62%,72,6,CHD,
Tai 2004,Singapore,IFG (ADA),4723,49%,38.3,8,CHD,
Thrainsdottir 2005,Iceland,"IFG (WHO), IGT",19381,52%,53.9,21.5,"All-cause mortality, CHD",
Nakagami 2004,"Japan, USA, Brazil, Fiji, Mauritius","IFG (WHO), IGT",6817,54%,51.4,5,"All-cause mortality, CVD mortality",
Vistisen 2018,United Kingdom,"IFG (ADA), IFG (WHO), HbA1c (ADA), IGT, HbA1c (IEC)",5427,28%,61.5,11.5,CVD events,
Wang 2008,Finland,"IFG (ADA), IFG (WHO), IGT",1910,64%,69,13.8,stroke,
Welsh 2020,United Kingdom,HbA1c (IEC),357833,56%,56.1,8.9,CVD events,
Neves 2020,USA,"IFG (ADA), HbA1c (ADA)",3701,45.50%,58.2,7.5,"All-cause mortality, CVD events, CKD",
Kim 2008,USA,"IFG (ADA), IGT",2993,58%,44.8,10.4,"All-cause mortality, CVD mortality, CHD",
Brunner 2010,United Kingdom,IFG (WHO),6868,30%,49.5,11.3,CHD,
Hunt 2004,USA,IFG (WHO),2941,57%,43.4,12.7,All-cause mortality,
Farhan 2019,USA,"IFG (ADA), HbA1c (ADA)",697,23%,58.7,3,CVD events,
Evans 2015,United Kingdom,"IFG (WHO), IGT",246884,57%,63,6,"All-cause mortality, CVD mortality",
Bjarnason 2019,Iceland,"IFG (ADA), IGT, HbA1c (ADA)",372,24%,65.1,2.9,CVD events,
Wang 2007,Finland,IGT,1025,49%,65-74 years,13.5,CVD mortality,
Ding 2014,China,IFG (ADA),1726,34%,64,3.1,"All-cause mortality, CVD mortality",
