pmid,id,journal,abstract
30127212,Chen 2018,chinese medical journal,"Background: The impact of fasting plasma glucose (FPG) on survival outcomes in patients with acute heart failure (HF) is unclear, and the relationship between intensity of glycemic control of FPG in diabetes mellitus (DM) patients and HF prognosis remains uncertain. This retrospective study aimed to evaluate the prognostic impact of FPG in patients with acute HF. Methods: A total of 624 patients hospitalized with acute HF from October 2000 to April 2014 were enrolled in this study. All patients were stratified by three groups according to their admission FPG levels (i.e., DM, impaired fasting glucose [IFG], and non‐DM). All‐cause and cardiovascular mortality was the primary end point, and HF re‐hospitalization was the secondary end point during follow‐up period. Results: A total of 587 patients were included in final analysis. The all‐cause mortality rates of patients with DM, IFG, and non‐DM were 55.5%, 40.3%, and 39.2%, with significant difference (P = 0.001). Moreover, compared with those with IFG (34.3%) and non‐DM (32.6%), patients with DM had significantly higher rate of cardiovascular mortality (45.1%). Multiple Cox regression analysis showed that DM as well as IFG was related to all‐cause mortality (DM: hazard ratio [HR] = 1.936, P < 0.001; IFG: HR = 1.672, P = 0.019) and cardiovascular mortality (DM: HR = 1.739, P < 0.001; IFG: HR = 1.817, P = 0.013). However, they were both unrelated to HF re‐hospitalization. DM patients with strictly controlled blood glucose (FPG <3.9 mmol/L) had higher all‐cause mortality than patients with non‐DM, IFG, and DM patients with moderately controlled glucose (3.9 mmol/L≤ FPG <7.0 mmol/L). Likewise, both the primary end point and secondary end point were found to be worse in DM patients with poorly controlled blood glucose (FPG ≥7.0 mmol/L). Conclusions: IFG and DM were associated with higher all‐cause mortality and cardiovascular mortality in patients with acute HF. The association between mortality and admission FPG in DM patients with acute HF appeared U‐shaped."
19061718,Chien 2008,american heart journal,"BACKGROUND: Whether fasting glucose is superior to postchallenge glucose or insulin level for prediction of cardiovascular disease (CVD) remains controversial. The aim of our study was to compare fasting, postchallenge glucose and other markers as predictors of CVD in a community-based prospective cohort study among 2,165 adult participants. METHODS: A standard 75-g oral glucose tolerance test was performed, with measurements of fasting and 2-hour postchallenge plasma glucose and insulin levels. We defined the CVD outcome as incident coronary heart disease and stroke. Cox regression model was used to estimate the relative risk (RR) for CVD. RESULTS: A total of 166 individuals developed major CVD events during 10.5 years of follow-up. Both fasting and postchallenge glucose were significantly associated with CVD risk (adjusted RR in the highest quartile vs the lowest quartile 1.74, 95% confidence interval [CI] 1.06-2.86 for fasting glucose; RR in highest quartile 2.05, 95% CI 1.23-3.42 for postchallenge glucose). Postchallenge and fasting glucose had similar areas of receiver operative characteristics curves (0.65, 95% CI 0.58-0.72 for postchallenge glucose; 0.65, 95% CI 0.58-0.72 for fasting glucose). In mutually adjusted models, fasting and postchallenge glucose remained significant risk factors for CVD, whereas insulin resistance variables became nonsigificant. CONCLUSIONS: These findings show that fasting and postchallenge glucose concentrations are independent predictors of CVD risk among ethnic Chinese in Taiwan."
28698884,de Abreu 2017,journal of diabetes research,"AIMS: Impaired fasting glucose (IFG) and diabetes are increasing in prevalence worldwide and lead to serious health problems. The aim of this longitudinal study was to investigate the association between impaired fasting glucose or diabetes and mortality over a 10-year period in Australian women. METHODS: This study included 1167 women (ages 20-94 yr) enrolled in the Geelong Osteoporosis Study. Hazard ratios for all-cause mortality in diabetes, IFG, and normoglycaemia were calculated using a Cox proportional hazards model. RESULTS: Women with diabetes were older and had higher measures of adiposity, LDL cholesterol, and triglycerides compared to the IFG and normoglycaemia groups (all p < 0.001). Mortality rate was greater in women with diabetes compared to both the IFG and normoglycaemia groups (HR 1.8; 95% CI 1.3-2.7). Mortality was not different in women with IFG compared to those with normoglycaemia (HR 1.0; 95% CI 0.7-1.4). CONCLUSIONS: This study reports an association between diabetes and all-cause mortality. However, no association was detected between IFG and all-cause mortality. We also showed that mortality in Australian women with diabetes continues to be elevated and women with IFG are a valuable target for prevention of premature mortality associated with diabetes."
11176766,DECODE 2001,archives of internal medicine,"BACKGROUND: New diagnostic criteria for diabetes based on fasting blood glucose (FBG) level were approved by the American Diabetes Association. The impact of using FBG only has not been evaluated thoroughly. The fasting and the 2-hour glucose (2h-BG) criteria were compared with regard to the prediction of mortality. METHODS: Existing baseline data on glucose level at fasting and 2 hours after a 75-g oral glucose tolerance test from 10 prospective European cohort studies including 15 388 men and 7126 women aged 30 to 89 years, with a median follow-up of 8.8 years, were analyzed. Hazards ratios for death from all causes, cardiovascular disease, coronary heart disease, and stroke were estimated. RESULTS: Multivariate Cox regression analyses showed that the inclusion of FBG did not add significant information on the prediction of 2h-BG alone (P>.10 for various causes), whereas the addition of 2h-BG to FBG criteria significantly improved the prediction (P<.001 for all causes and P<.005 for cardiovascular disease). In a model including FBG and 2h-BG simultaneously, hazards ratios (95% confidence intervals) in subjects with diabetes on 2h-BG were 1.73 (1.45-2.06) for all causes, 1.40 (1.02-1.92) for cardiovascular disease, 1.56 (1.03-2.36) for coronary heart disease, and 1.29 (0.66-2.54) for stroke mortality, compared with the normal 2h-BG group. Compared with the normal FBG group, the corresponding hazards ratios in subjects with diabetes on FBG were 1.21 (1.01-1.44), 1.20 (0.88-1.64), 1.09 (0.71-1.67), and 1.64 (0.88-3.07), respectively. The largest number of excess deaths was observed in subjects who had impaired glucose tolerance but normal FBG levels. CONCLUSION: The 2h-BG is a better predictor of deaths from all causes and cardiovascular disease than is FBG."
23731526,Deedwania 2013,international journal of cardiology,"BACKGROUND: Whether prediabetes is an independent risk factor for incident heart failure (HF) in non-diabetic older adults remains unclear. METHODS: Of the 4602 Cardiovascular Health Study participants, age>=65 years, without baseline HF and diabetes, 2157 had prediabetes, defined as fasting plasma glucose (FPG) 100-125 mg/dL. Propensity scores for prediabetes, estimated for each of the 4602 participants, were used to assemble a cohort of 1421 pairs of individuals with and without prediabetes, balanced on 44 baseline characteristics. RESULTS: Participants had a mean age of 73 years, 57% were women, and 13% African American. Incident HF occurred in 18% and 20% of matched participants with and without prediabetes, respectively (hazard ratio {HR} associated with prediabetes, 0.90; 95% confidence interval {CI}, 0.76-1.07; p=0.239). Unadjusted and multivariable-adjusted HRs (95% CIs) for incident HF associated with prediabetes among 4602 pre-match participants were 1.22 (95% CI, 1.07-1.40; p=0.003) and 0.98 (95% CI, 0.85-1.14; p=0.826), respectively. Among matched individuals, prediabetes had no independent association with incident acute myocardial infarction (HR, 1.02; 95% CI, 0.81-1.28; p=0.875), angina pectoris (HR, 0.93; 95% CI, 0.77-1.12; p=0.451), stroke (HR, 0.86; 95% CI, 0.70-1.06; p=0.151) or all cause mortality (HR, 0.99; 95% CI, 0.88-1.11; p=0.840). CONCLUSIONS: We found no evidence that prediabetes is an independent risk factor for incident HF, other cardiovascular events or mortality in community-dwelling older adults. These findings question the wisdom of routine screening for prediabetes in older adults and targeted interventions to prevent adverse outcomes in older adults with prediabetes."
26825592,Deng 2017,european journal of nutrition,"INTRODUCTION: Chronic inflammation is associated with increased risk of cancer, cardiovascular disease (CVD), and diabetes. The role of pro-inflammatory diet in the risk of cancer mortality and CVD mortality in prediabetics is unclear. We examined the relationship between diet-associated inflammation, as measured by dietary inflammatory index (DII) score, and mortality, with special focus on prediabetics. METHODS: This prospective cohort study used data from the Third National Health and Nutrition Examination Survey (NHANES III). We categorized 13,280 eligible participants, ages 20-90 years, according to glycosylated hemoglobin (HgbA1c) level and identified 2681 with prediabetes, defined as a glycosylated hemoglobin percentage of 5.7-6.4. Computation of DII scores and all statistical analyses were conducted in 2015. The DII was computed based on baseline dietary intake assessed using 24-h dietary recalls (1988-1994). Mortality was determined from the National Death Index records through 2006. Over follow-up ranging between 135 and 168 person-months, a total of 3016 deaths were identified, including 676 cancer, 192 lung cancer, 176 digestive-tract cancer, and 1328 CVD deaths. Cox proportional hazard regression was used to estimate hazard ratios. RESULTS: The prevalence of prediabetes was 20.19 %. After controlling for age, sex, race, HgbA1c, current smoking, physical activity, BMI, and systolic blood pressure, DII scores in tertile III (vs tertile I) was significantly associated with mortality from all causes (HR 1.39, 95 % CI 1.13, 1.72), CVD (HR 1.44, 95 % CI 1.02, 2.04), all cancers (HR 2.02, 95 % CI 1.27, 3.21), and digestive-tract cancer (HR 2.89, 95 % CI 1.08, 7.71). Findings for lung cancer (HR 2.01, 95 % CI 0.93, 4.34) suggested a likely effect. These results were moderately enhanced after additional adjustment for serum low density lipoprotein and triglyceride and following eliminating deaths during the first year. CONCLUSIONS: A pro-inflammatory diet, as indicated by higher DII scores, is associated with an increased risk of all-cause, CVD, all-cancer, and digestive-tract cancer mortality among prediabetic subjects."
24089546,Ding 2014,diabetes care,"Objective: Known diabetes is an independent predictor for mortality in coronary artery disease (CAD) patients; however, whether other glucose abnormalities are associated with death risk in CAD patients is unclear. The goal of this study was to examine the association between different glucose states and the risks of all-cause and cardiovascular disease (CVD) mortality among CAD patients. Research design and methods: The study cohort included 1,726 CAD patients who were 40-85 years of age in the Guangdong Coronary Artery Disease Cohort. Cox proportional hazards regression models were used to estimate the association of baseline glucose status with risk of mortality. Results: During a median follow-up of 3.1 years, 129 deaths were recorded, 109 of which were due to CVD. The multivariable-adjusted (age; sex; education; marriage; leisure-time physical activity; smoking; alcohol drinking; BMI; systolic blood pressure; total and HDL cholesterol; glomerular filtration rate; type, severity, duration, and treatment of CAD; history of heart failure; and use of antihypertensive, cholesterol-lowering, and antiplatelet drugs) hazard ratios in normoglycemia, impaired glucose regulation (IGR), newly diagnosed diabetes, and known diabetes were 1.00, 1.58 (95% CI 0.90-2.77), 2.41 (1.42-4.11), and 2.29 (1.36-3.84) for all-cause mortality and 1.00, 1.89 (1.01-3.54), 2.74 (1.50-5.01), and 2.73 (1.52-4.91) for CVD mortality. Assessing fasting plasma glucose only, impaired fasting glucose and newly diagnosed and known diabetes were also associated with increased risks of all-cause and CVD mortality compared with normoglycemia."
19940278,Doi 2010,stroke,"BACKGROUND AND PURPOSE: Few studies have shown the association between glucose tolerance status defined by a 75-g oral glucose tolerance test and the development of different types of cardiovascular disease. METHODS: A total of 2421 community-dwelling Japanese subjects aged 40 to 79 years who underwent the oral glucose tolerance test were followed up for 14 years. RESULTS: In multivariable analysis, the risks of ischemic stroke in both sexes and coronary heart disease (CHD) in women were significantly higher in subjects with diabetes determined by the World Health Organization criteria than in those with normal glucose tolerance even after adjustment for other confounding factors, but such association was not seen for CHD in men (ischemic stroke: adjusted hazard ratio [HR]=2.54, P=0.002 in men; adjusted HR=2.02, P=0.03 in women; CHD: adjusted HR=1.26, P=0.47 in men; adjusted HR=3.46, P=0.002 in women). Similar associations were observed for fasting plasma glucose levels of >or=7.0 mmol/L (ischemic stroke: adjusted HR=2.15, P=0.03 in men; adjusted HR=2.10, P=0.045 in women; CHD: adjusted HR=1.29, P=0.47 in men; adjusted HR=3.83, P=0.003 in women) and for 2 hour postload glucose levels of >or=11.1 mmol/L (ischemic stroke: adjusted HR=2.71, P=0.003 in men; adjusted HR=2.19, P=0.03 in women; CHD: adjusted HR=1.58, P=0.16 in men; adjusted HR=4.44, P<0.001 in women). The age-adjusted incidences of ischemic stroke and CHD did not significantly increase in subjects with impaired fasting glycemia or impaired glucose tolerance in either sex. CONCLUSIONS: Our findings suggest that diabetes is an independent risk factor for ischemic stroke in both sexes and CHD in women in the Japanese population."
20227262,Donahue 2011,"nutrition, metabolism and cardiovascular diseases","Background and aims: There is little epidemiological evidence regarding the association of impaired glucose metabolism with recurrent cardiovascular events. We therefore examined potential sex differences in the effect of impaired fasting glucose (IFG) on recurrent cardiovascular disease (CVD) in a community-based study of survivors of a first acute myocardial infarction (MI). Methods and results: This report focuses on 1226 incident MI cases (28.4% women) discharged alive from area hospitals in the Western New York Acute MI Study (1996-2004). Deaths and underlying cause of death were determined via query of the National Death Index (Plus) Retrieval Program with follow-up through December 31, 2004. Outcomes reported included fatal or non-fatal coronary heart disease (CHD) or coronary revascularization surgery and total stroke. Traditional CHD risk factors and other explanatory variables were determined by clinical examination after the first acute event. Impaired fasting glucose was defined as fasting blood glucose between 100 and 125mg/dl. During a mean follow-up of 4.5 years, there were 91 recurrent events (26.1%) in women and 173 recurrent events (19.7%) in men. After multivariable adjustment, the hazard ratios for recurrent cardiovascular events were 1.96 (95% CI: 1.15-3.16) and 2.59 (1.56-4.30) in women with IFG and with diabetes, respectively, compared to normoglycemic women. Among men, neither IFG nor diabetes was independently related to risk of recurrence. Conclusions: In this study, IFG was a strong risk factor for recurrent cardiovascular events only among women. These results suggest that increased cardiovascular risk in MI survivors begins at lower glucose levels in women than men."
26486189,Eastwood 2015,diabetes care,"OBJECTIVE: We examined longitudinal associations between prediabetes and cardiovascular disease (CVD) (coronary heart disease [CHD] and stroke) in Europeans and South Asians. RESEARCH DESIGN AND METHODS: This was a U.K. cohort study of 1,336 Europeans and 1,139 South Asians, aged 40-69 years at baseline (1988-1991). Assessment included blood pressure, blood tests, anthropometry, and questionnaires. Prediabetes was determined by OGTT or HbA1c, using either International Expert Committee (IEC) (HbA1c 6.0-6.5% [42-48 mmol/mol]) or American Diabetes Association (ADA) (HbA1c 5.7-6.5% [39-48 mmol/mol]) cut points. Incident CHD and stroke were established at 20 years from death certification, hospital admission, primary care record review, and participant report. RESULTS: Compared with normoglycemic individuals, IEC-defined prediabetes was related to both CHD and CVD risk in Europeans but not South Asians (subhazard ratio for CHD 1.68 [95% CI 1.19, 2.38] vs. 1.00 [0.75, 1.33], ethnicity interaction P = 0.008, and for CVD 1.49 [1.08, 2.07] vs. 1.03 [0.78, 1.36], ethnicity interaction P = 0.04). Conversely, IEC-defined prediabetes was associated with stroke risk in South Asians but not Europeans (1.73 [1.03, 2.90] vs. 0.85 [0.44, 1.64], ethnicity interaction P = 0.11). Risks were adjusted for age, sex, smoking, total to-HDL cholesterol ratio, waist-to-hip ratio, systolic blood pressure, and antihypertensive use. Associations were weaker for OGTT or ADA-defined prediabetes. Conversion from prediabetes to diabetes was greater in South Asians, but accounting for time to conversion did not account for these ethnic differences. CONCLUSIONS: Associations between prediabetes and CVD differed by prediabetes diagnostic criterion, type of CVD, and ethnicity, with associations being present for overall CVD in Europeans but not South Asians. Substantiation of these findings and investigation of potential explanations are required."
