paper,section,normalized_section
Madssen_2012,Potentially confounding factors,discussion
Madssen_2012,Abnormal glucose regulation and fatal CAD,discussion
Madssen_2012,Gender differences,discussion
Madssen_2012,Limitations of the study,discussion
Madssen_2012,Conclusions,conclusions
Madssen_2012,all_tables,tables
Madssen_2012,all_figure_descriptions,figures
Deedwania_2013,Abstract,abstract
Deedwania_2013,Introduction,intro
Deedwania_2013,Methods,methods
Deedwania_2013,Study design and participants,methods
Deedwania_2013,Prediabetes and other baseline measurements,methods
Deedwania_2013,Outcome measures,methods
Deedwania_2013,Assembly of a balanced study cohort,methods
Deedwania_2013,Statistical analysis,methods
Deedwania_2013,Results,results
Deedwania_2013,Baseline characteristics,results
Deedwania_2013,Association of prediabetes with incident heart failure,results
Deedwania_2013,CHS (N=5888),results
Deedwania_2013,Association of prediabetes with other incident cardiovascular events,results
Deedwania_2013,Association of prediabetes with mortality,results
Deedwania_2013,Association of prediabetes with incident diabetes,results
Deedwania_2013,Association of incident diabetes with outcomes,results
Deedwania_2013,Discussion,discussion
Deedwania_2013,Brief summary of the key findings,discussion
Deedwania_2013,Potential explanations for the key,discussion
Deedwania_2013,Age,discussion
Deedwania_2013,Comparison with relevant published findings,discussion
Deedwania_2013,Potential clinical and/or public health implications,discussion
Deedwania_2013,Limitations,discussion
Deedwania_2013,Conclusions,conclusions
Deedwania_2013,all_tables,tables
Deedwania_2013,all_figure_descriptions,figures
Smith_2002,Abstract,abstract
Smith_2002,I,intro
Smith_2002,RESULTS,results
Smith_2002,ORIGINAL INVESTIGATION,results
Smith_2002,INDEPENDENT CONTRIBUTIONS OF FASTING AND 2-HOUR GLUCOSE LEVELS,results
Smith_2002,SUBJECTS AND METHODS,methods
Smith_2002,SETTING AND DESIGN,methods
Smith_2002,SUBJECTS,methods
Smith_2002,MEASURES,methods
Smith_2002,JOINT CONTRIBUTIONS OF FASTING AND 2-HOUR GLUCOSE LEVELS,methods
Smith_2002,ANALYSIS,methods
Smith_2002,ANALYSES STRATIFIED BY FASTING GLUCOSE LEVEL,results
Smith_2002,COMMENT,discussion
Smith_2002,CONCLUSIONS,conclusions
Smith_2002,all_tables,tables
Smith_2002,all_figure_descriptions,figures
Nilsson_2007,Abstract,abstract
Nilsson_2007,Introduction,intro
Nilsson_2007,Subjects and methods,methods
Nilsson_2007,Study design,methods
Nilsson_2007,Lifestyle habits,methods
Nilsson_2007,Physical examination,methods
Nilsson_2007,Laboratory analyses,methods
Nilsson_2007,Definitions of the metabolic syndrome,methods
Nilsson_2007,"Follow-up, definition of end points",methods
Nilsson_2007,Statistical methods,methods
Nilsson_2007,Results,results
Nilsson_2007,Baseline findings,results
Nilsson_2007,Risk of cardiovascular disease according to MetS,results
Nilsson_2007,Modification of waist circumference criteria in IDF definition,results
Nilsson_2007,Prediction by the components of the syndrome,results
Nilsson_2007,Discussion,discussion
Nilsson_2007,Limitations of the study,discussion
Nilsson_2007,all_tables,tables
Nilsson_2007,all_figure_descriptions,figures
Sui_2011,Abstract,abstract
Sui_2011,PATIENTS AND METHODS,methods
Sui_2011,A Prospective Study of Fasting Plasma Glucose and Risk of Stroke in Asymptomatic Men,abstract
Sui_2011,PATIENTS AND METHODS:,abstract
Sui_2011,Mayo Clin,methods
Sui_2011,CliniCal Examination,methods
Sui_2011,StrokE outComES aSCErtainmEnt,methods
Sui_2011,StatiStiCal analySES,methods
Sui_2011,RESULTS,results
Sui_2011,DISCUSSION,discussion
Sui_2011,Fatal stroke Nonfatal stroke Total stroke,discussion
Sui_2011,CONCLUSION,conclusions
Sui_2011,all_tables,tables
Sui_2011,all_figure_descriptions,figures
Wen_2005,Abstract,abstract
Wen_2005,P,intro
Wen_2005,RESEARCH DESIGN AND,methods
Wen_2005,Blood analysis,methods
Wen_2005,Outcome follow-up,methods
Wen_2005,Statistical analysis,methods
Wen_2005,all_tables,tables
Wen_2005,all_figure_descriptions,figures
Mongraw-Chaffin_2017,Abstract,abstract
Mongraw-Chaffin_2017,Introduction,intro
Mongraw-Chaffin_2017,Methods,methods
Mongraw-Chaffin_2017,Study Population,methods
Mongraw-Chaffin_2017,Study Measures,methods
Mongraw-Chaffin_2017,Statistical Analysis,methods
Mongraw-Chaffin_2017,Results,results
Mongraw-Chaffin_2017,Discussion,discussion
Mongraw-Chaffin_2017,all_tables,tables
Mongraw-Chaffin_2017,all_figure_descriptions,figures
Hadaegh_2015,Abstract,abstract
Hadaegh_2015,Introduction,intro
Hadaegh_2015,Methods,methods
Hadaegh_2015,Study population,methods
Hadaegh_2015,"Clinical, anthropometric, and laboratory measurements",methods
Hadaegh_2015,Definition of terms,methods
Hadaegh_2015,Definition of outcome,methods
Hadaegh_2015,Statistics,methods
Hadaegh_2015,Results,results
Hadaegh_2015,Discussion,discussion
Hadaegh_2015,Study strengths and limitations,discussion
Hadaegh_2015,Conclusion,conclusions
Hadaegh_2015,all_tables,tables
Hadaegh_2015,all_figure_descriptions,figures
Wannamethee_2008,Abstract,abstract
Wannamethee_2008,Introduction,intro
Wannamethee_2008,The British Regional Heart Study,methods
Wannamethee_2008,metabolic syndrome and risk of CVD and diabetes,results
Wannamethee_2008,S26,results
Wannamethee_2008,Comparisons between the Framingham Risk Score and the metabolic syndrome,discussion
Wannamethee_2008,Caveats,discussion
Wannamethee_2008,all_tables,tables
Wannamethee_2008,all_figure_descriptions,figures
Barr_2007,Abstract,abstract
Barr_2007,Statistical Analysis,methods
Barr_2007,Results,results
Barr_2007,Baseline Characteristics According to Categories of Abnormal Glucose Metabolism,results
Barr_2007,All-Cause and CVD Mortality,results
Barr_2007,Mortality,results
Barr_2007,Discussion,discussion
Barr_2007,all_tables,tables
Barr_2007,all_figure_descriptions,figures
Jiang_2020,Abstract,abstract
Jiang_2020,Methods,methods
Jiang_2020,Study subjects,methods
Jiang_2020,Glycemic measures,methods
Jiang_2020,Mortality,methods
Jiang_2020,Statistical analysis,methods
Jiang_2020,Results,results
Jiang_2020,Discussion,discussion
Jiang_2020,all_tables,tables
Jiang_2020,all_figure_descriptions,figures
Paprott_2015,Abstract,abstract
Paprott_2015,RESEARCH DESIGN AND METHODS,methods
Paprott_2015,Assessment of Glycemic Status,methods
Paprott_2015,Assessment of Covariates,methods
Paprott_2015,Statistical Analysis,methods
Paprott_2015,RESULTS,results
Paprott_2015,CONCLUSIONS,discussion
Paprott_2015,all_tables,tables
Paprott_2015,all_figure_descriptions,figures
Doi_2010,Abstract,abstract
Doi_2010,Materials and Methods,methods
Doi_2010,Study Population,methods
Doi_2010,Follow-Up Survey,methods
Doi_2010,Definition of Cardiovascular Events,methods
Doi_2010,Risk Factors,methods
Doi_2010,Statistical Analysis,methods
Doi_2010,Ethical Considerations,methods
Doi_2010,Results,results
Doi_2010,Doi et al,results
Doi_2010,Discussion,discussion
Doi_2010,Doi et al Glucose Tolerance Levels and Cardiovascular Disease,discussion
Doi_2010,all_tables,tables
Doi_2010,all_figure_descriptions,figures
Kaarisalo_2006,Abstract,abstract
Kaarisalo_2006,Introduction,intro
Kaarisalo_2006,Study population and methods,methods
Kaarisalo_2006,Study population,methods
Kaarisalo_2006,Methods,methods
Kaarisalo_2006,Statistical analysis,methods
Kaarisalo_2006,Results,results
Kaarisalo_2006,Discussion,discussion
Kaarisalo_2006,all_tables,tables
Kaarisalo_2006,all_figure_descriptions,figures
Laukkanen_2013,Abstract,abstract
Laukkanen_2013,S,intro
Laukkanen_2013,RESEARCH DESIGN AND METHODS,methods
Laukkanen_2013,Study population,methods
Laukkanen_2013,Assessment of risk factors,methods
Laukkanen_2013,Classification of outcomes,methods
Laukkanen_2013,Statistical analysis,methods
Laukkanen_2013,RESULTS,results
Laukkanen_2013,Baseline characteristics,results
Laukkanen_2013,Numbers of outcome events during the follow-up,results
Laukkanen_2013,"FPG, insulin resistance, and type 2 diabetes risk factors for SCD",results
Laukkanen_2013,all_tables,tables
Laukkanen_2013,all_figure_descriptions,figures
Ares_2019,Abstract,abstract
Ares_2019,Introduction,intro
Ares_2019,Materials and methods,methods
Ares_2019,The asturias study,methods
Ares_2019,Measurements,methods
Ares_2019,Follow up and mortality,methods
Ares_2019,Statistical analysis,methods
Ares_2019,Results,results
Ares_2019,Baseline characteristics,results
Ares_2019,Mortality by glucose tolerance categories,results
Ares_2019,"Cause of death, age, and sex differences",results
Ares_2019,Discussion,discussion
Ares_2019,Conclusion,conclusions
Ares_2019,all_tables,tables
Ares_2019,all_figure_descriptions,figures
Rijkelijkhuizen_2007,Abstract,abstract
Rijkelijkhuizen_2007,I,intro
Rijkelijkhuizen_2007,RESEARCH DESIGN AND METHODS,methods
Rijkelijkhuizen_2007,Study population,methods
Rijkelijkhuizen_2007,Glucose intolerance classification,methods
Rijkelijkhuizen_2007,Measurements,methods
Rijkelijkhuizen_2007,Follow-up of mortality,methods
Rijkelijkhuizen_2007,Statistical analysis,methods
Rijkelijkhuizen_2007,RESULTS,results
Rijkelijkhuizen_2007,Limitations of the study,discussion
Rijkelijkhuizen_2007,Consequences of lowering the IFG cutoff for the prevalence of IFG and incidence rate of diabetes,discussion
Rijkelijkhuizen_2007,Fasting glucose and cardiovascular mortality,discussion
Rijkelijkhuizen_2007,Consequences of lowering the IFG cutoff for early prediction of CVD and diabetes,discussion
Rijkelijkhuizen_2007,all_tables,tables
Rijkelijkhuizen_2007,all_figure_descriptions,figures
McNeill_2006,Abstract,abstract
McNeill_2006,OBJECTIVES:,intro
McNeill_2006,METHODS,methods
McNeill_2006,Classification of MetS,methods
McNeill_2006,Ascertainment of Incident Events,methods
McNeill_2006,Statistical Analysis,methods
McNeill_2006,RESULTS,results
McNeill_2006,˙SCUSSI ˙ON,discussion
McNeill_2006,ACKNOWLEDGMENTS,misc.
McNeill_2006,all_tables,tables
McNeill_2006,all_figure_descriptions,figures
Zhang_2008,Abstract,abstract
Zhang_2008,Baseline Evaluation,methods
Zhang_2008,Outcome Variables,methods
Zhang_2008,Fatal Stroke,methods
Zhang_2008,Nonfatal Stroke,methods
Zhang_2008,Statistical Analysis,methods
Zhang_2008,Results,results
Zhang_2008,Prior Stroke,results
Zhang_2008,Incidence Rate of Stroke,results
Zhang_2008,Stroke Subtypes,results
Zhang_2008,Age of Occurrence of First Stroke,results
Zhang_2008,Characteristics of Participants With or Without Incident Stroke,results
Zhang_2008,Risk Factors for Stroke,results
Zhang_2008,Discussion,discussion
Zhang_2008,Zhang et al Stroke in American Indians,discussion
Zhang_2008,Incidence,discussion
Zhang_2008,Case Fatality of First Stroke,discussion
Zhang_2008,all_tables,tables
Zhang_2008,all_figure_descriptions,figures
Lu_2003,Abstract,abstract
Lu_2003,INTRODUCTION,intro
Lu_2003,RESEARCH DESIGN AND METHODS,methods
Lu_2003,RESULTS,results
Lu_2003,all_tables,tables
Lu_2003,all_figure_descriptions,figures
Mathenge_2020,Abstract,abstract
Mathenge_2020,Introduction,intro
Mathenge_2020,"Pre-diabetes, diabetes and predictors of incident angina among older women and men in the Cardiovascular Health Study",intro
Mathenge_2020,Methods,methods
Mathenge_2020,Results,results
Mathenge_2020,Discussion,discussion
Mathenge_2020,all_tables,tables
Mathenge_2020,all_figure_descriptions,figures
Kowall_2011,Abstract,abstract
Kowall_2011,Introduction,intro
Kowall_2011,Ö Springer,intro
Kowall_2011,Methods,methods
Kowall_2011,Study population,methods
Kowall_2011,Physical examinations and interviews,methods
Kowall_2011,Laboratory measurements,methods
Kowall_2011,Definition of covariables,methods
Kowall_2011,Statistical analyses,methods
Kowall_2011,Categories of glucose regulation and mortality,methods
Kowall_2011,Results,results
Kowall_2011,Study population characteristics,results
Kowall_2011,Mortality by glucose tolerance categories,results
Kowall_2011,Glycemic measures and mortality,results
Kowall_2011,Discussion,discussion
Kowall_2011,All-cause mortality in known and undiagnosed diabetes,discussion
Kowall_2011,Cancer and cardiovascular mortality in known and undiagnosed diabetes,discussion
Kowall_2011,Relationship between continuous glucose measures and mortality,discussion
Kowall_2011,Study limitations and strengths,discussion
Kowall_2011,Conclusion,conclusions
Kowall_2011,all_tables,tables
Kowall_2011,all_figure_descriptions,figures
Tai_2004,Abstract,abstract
Tai_2004,T,intro
Tai_2004,RESEARCH DESIGN AND,methods
Tai_2004,RESULTS -,results
Tai_2004,CONCLUSIONS -In the follow-up report on the diagnosis of the,discussion
Tai_2004,all_tables,tables
Tai_2004,all_figure_descriptions,figures
Yeboah_2011,Abstract,abstract
Yeboah_2011,Methods,methods
Yeboah_2011,Study population and data collection.,methods
Yeboah_2011,Results,results
Yeboah_2011,Discussion,discussion
Yeboah_2011,Conclusions,conclusions
Yeboah_2011,all_tables,tables
Yeboah_2011,all_figure_descriptions,figures
Wang_2019,Abstract,abstract
Wang_2019,Methods,methods
Wang_2019,Study Design and Population,methods
Wang_2019,Data Collection,methods
Wang_2019,Key Points,methods
Wang_2019,Assessment of Prediabetes and Diabetes,methods
Wang_2019,Ascertainment of Cardiovascular Events,methods
Wang_2019,Statistical Analysis,methods
Wang_2019,Results,results
Wang_2019,Discussion,discussion
Wang_2019,Strengths and Limitations,discussion
Wang_2019,Conclusions,conclusions
Wang_2019,ARTICLE INFORMATION,misc.
Wang_2019,Accepted for,misc.
Wang_2019,all_tables,tables
Wang_2019,all_figure_descriptions,figures
Nakagami_2004,Abstract,abstract
Nakagami_2004,T. Nakagami • the DECODA Study Group,intro
Nakagami_2004,Subjects and methods,methods
Nakagami_2004,Results,results
Nakagami_2004,Discussion,discussion
Nakagami_2004,all_tables,tables
Nakagami_2004,all_figure_descriptions,figures
Wandell_2005,Abstract,abstract
Wandell_2005,Materials and methods,methods
Wandell_2005,Blood glucose values,methods
Wandell_2005,Covariates,methods
Wandell_2005,Follow-up,methods
Wandell_2005,Statistical analysis,methods
Wandell_2005,Ethics,methods
Wandell_2005,Results,results
Wandell_2005,Table I,results
Wandell_2005,Men,results
Wandell_2005,Table II,results
Wandell_2005,All deaths CVD-deaths,results
Wandell_2005,Discussion,discussion
Wandell_2005,all_tables,tables
Wandell_2005,all_figure_descriptions,figures
Gordon-Dseagu_2015,Abstract,abstract
Gordon-Dseagu_2015,Introduction,intro
Gordon-Dseagu_2015,Materials and Methods,methods
Gordon-Dseagu_2015,Participants and data,methods
Gordon-Dseagu_2015,Statistical analysis,methods
Gordon-Dseagu_2015,Results,results
Gordon-Dseagu_2015,Characteristic of the study sample,results
Gordon-Dseagu_2015,All-cause mortality,results
Gordon-Dseagu_2015,Cancer and cardiovascular disease mortality,results
Gordon-Dseagu_2015,Discussion,discussion
Gordon-Dseagu_2015,Conclusion,conclusions
Gordon-Dseagu_2015,all_tables,tables
Gordon-Dseagu_2015,all_figure_descriptions,figures
McNeill_2005,Abstract,abstract
McNeill_2005,Criteria for the metabolic syndrome,methods
McNeill_2005,Ascertainment of cardiovascular outcomes,methods
McNeill_2005,Statistical analysis,methods
McNeill_2005,RESULTS,results
McNeill_2005,all_tables,tables
McNeill_2005,all_figure_descriptions,figures
Rhee_2020,Abstract,abstract
Rhee_2020,Introduction,intro
Rhee_2020,Methods,methods
Rhee_2020,NHIS Database and NHIS Health Checkup Data,methods
Rhee_2020,Measurements,methods
Rhee_2020,Study Design and Definition of Diseases,methods
Rhee_2020,Statistical Analysis,methods
Rhee_2020,Results,results
Rhee_2020,1.,results
Rhee_2020,Discussion,discussion
Rhee_2020,all_tables,tables
Rhee_2020,all_figure_descriptions,figures
Kokubo_2010,Abstract,abstract
Kokubo_2010,INTRODUCTION,intro
Kokubo_2010,METHODS,methods
Kokubo_2010,Study subjects,methods
Kokubo_2010,Measurement of BP and fasting glucose,methods
Kokubo_2010,Confirmation of stroke and coronary heart disease and end point determination,methods
Kokubo_2010,Statistical analysis,methods
Kokubo_2010,RESULTS,results
Kokubo_2010,DISCUSSION,discussion
Kokubo_2010,Men Women,discussion
Kokubo_2010,CONFLICT OF INTEREST,misc.
Kokubo_2010,all_tables,tables
Kokubo_2010,all_figure_descriptions,figures
Ma_2003,Abstract,abstract
Ma_2003,MATERIALS AND METHODS,methods
Ma_2003,Study population,methods
Ma_2003,"TABLE 1. Distributions of socioeconomic variables and other risk factors by ethnic group among Singaporeans aged 18-69 years, Singapore National Health Survey, 1992",methods
Ma_2003,Mortality follow-up,methods
Ma_2003,Statistical analysis,methods
Ma_2003,RESULTS,results
Ma_2003,DISCUSSION,discussion
Ma_2003,all_tables,tables
Ma_2003,all_figure_descriptions,figures
Selvin_2010,Abstract,abstract
Selvin_2010,Conclusions,intro
Selvin_2010,Me thods,methods
Selvin_2010,Study Population,methods
Selvin_2010,Measurement of Glycated Hemoglobin,methods
Selvin_2010,Assessment of Diabetes,methods
Selvin_2010,Other Variables of Interest,methods
Selvin_2010,"Surveillance for Newly Diagnosed Coronary Heart Disease, Stroke, and Death from Any Cause",methods
Selvin_2010,Statistical Analysis,methods
Selvin_2010,R esult s,results
Selvin_2010,Discussion,discussion
Selvin_2010,col 36p6,discussion
Selvin_2010,Adjusted,discussion
Selvin_2010,all_tables,tables
Selvin_2010,all_figure_descriptions,figures
Qiu_2015,Abstract,abstract
Qiu_2015,Measurement of Blood Glucose,methods
Qiu_2015,Measurement of Blood Pressure,methods
Qiu_2015,Assessment of Major Outcomes,methods
Qiu_2015,Other Variables of Interest,methods
Qiu_2015,Statistical Analyses,methods
Qiu_2015,Results,results
Qiu_2015,Discussion,discussion
Qiu_2015,Adjusted Odds Ratio for Diabetes Mellitus and Cardiovascular Disease According to the Blood Glucose at Baseline,discussion
Qiu_2015,Outcome,discussion
Qiu_2015,Perspectives,discussion
Qiu_2015,all_tables,tables
Qiu_2015,all_figure_descriptions,figures
Kim_2008,Abstract,abstract
Kim_2008,C,intro
Kim_2008,RESEARCH DESIGN AND METHODS,methods
Kim_2008,Statistical analysis,methods
Kim_2008,RESULTS,results
Kim_2008,all_tables,tables
Kim_2008,all_figure_descriptions,figures
Parizadeh_2019,Abstract,abstract
Parizadeh_2019,Introduction,intro
Parizadeh_2019,Methods,methods
Parizadeh_2019,Study design and setting,methods
Parizadeh_2019,Study population,methods
Parizadeh_2019,Clinical and laboratory measurements,methods
Parizadeh_2019,Definition of terms,methods
Parizadeh_2019,Statistical analysis,methods
Parizadeh_2019,Results,results
Parizadeh_2019,Limitations,discussion
Parizadeh_2019,Conclusions,conclusions
Parizadeh_2019,all_tables,tables
Parizadeh_2019,all_figure_descriptions,figures
Selvin_2013,Abstract,abstract
Selvin_2013,RESEARCH DESIGN AND METHODS,methods
Selvin_2013,Study population,methods
Selvin_2013,Measurement of glucose and HbA 1c,methods
Selvin_2013,Outcomes,methods
Selvin_2013,Covariates,methods
Selvin_2013,Statistical analyses,methods
Selvin_2013,all_tables,tables
Selvin_2013,all_figure_descriptions,figures
Tian_2018,Abstract,abstract
Tian_2018,RESEARCH DESIGN AND METHODS,methods
Tian_2018,Study Population,methods
Tian_2018,Study End Points,methods
Tian_2018,BP and Blood Glucose Measurement,methods
Tian_2018,Other Variables of Interest,methods
Tian_2018,Data Analysis,methods
Tian_2018,RESULTS,results
Tian_2018,Baseline Characteristics,results
Tian_2018,BP Categories and CVD,results
Tian_2018,CONCLUSIONS,discussion
Tian_2018,all_tables,tables
Tian_2018,all_figure_descriptions,figures
Evans_2015,Abstract,abstract
Evans_2015,Key messages,intro
Evans_2015,RESEARCH DESIGN AND METHODS,methods
Evans_2015,RESULTS,results
Evans_2015,CONCLUSIONS,discussion
Evans_2015,all_tables,tables
Evans_2015,all_figure_descriptions,figures
Deng_2017,Abstract,abstract
Deng_2017,Introduction,intro
Deng_2017,Methods,methods
Deng_2017,Results,results
Deng_2017,Discussion,discussion
Deng_2017,all_tables,tables
Deng_2017,all_figure_descriptions,figures
Hiltunen_2005,Abstract,abstract
Hiltunen_2005,Introduction,intro
Hiltunen_2005,Subjects and methods,methods
Hiltunen_2005,Statistical methods,methods
Hiltunen_2005,Results,results
Hiltunen_2005,Discussion,discussion
Hiltunen_2005,all_tables,tables
Hiltunen_2005,all_figure_descriptions,figures
Saito_2011,Abstract,abstract
Saito_2011,Introduction,intro
Saito_2011,Measurements,methods
Saito_2011,Confirmation of incident CHD,methods
Saito_2011,Statistical analyses,methods
Saito_2011,Results,results
Saito_2011,Discussion,discussion
Saito_2011,all_tables,tables
Saito_2011,all_figure_descriptions,figures
Mazza_2001,Abstract,abstract
Mazza_2001,Introduction,intro
Mazza_2001,Materials and methods,methods
Mazza_2001,General protocol,methods
Mazza_2001,Electrocardiogram (EKG) was analysed on the basis of the Minnesota Code,methods
Mazza_2001,Results,results
Mazza_2001,Univariate analysis,results
Mazza_2001,Multivariate prediction of stroke mortality,results
Mazza_2001,Role of blood electrolytes,results
Mazza_2001,Very old subjects,results
Mazza_2001,Discussion,discussion
Mazza_2001,Conclusions,conclusions
Mazza_2001,all_tables,tables
Mazza_2001,all_figure_descriptions,figures
Ma_2012,Abstract,abstract
Ma_2012,INTRODUCTION,intro
Ma_2012,METHODS,methods
Ma_2012,Study Population and Data Collection,methods
Ma_2012,Definition of Main Exposure and Outcome Variables,methods
Ma_2012,Statistical Analysis,methods
Ma_2012,RESULTS,results
Ma_2012,Interaction Between Diabetes and BMI for CVD Mortality,results
Ma_2012,DISCUSSION,discussion
Ma_2012,all_tables,tables
Ma_2012,all_figure_descriptions,figures
Khang_2010,Abstract,abstract
Khang_2010,Introduction,intro
Khang_2010,Methods,methods
Khang_2010,Study subjects,methods
Khang_2010,Outcome ascertainment,methods
Khang_2010,Definition of the metabolic syndrome,methods
Khang_2010,"Variables on bio-clinical factors, health behaviours, family medical history, and socio-demographic factors",methods
Khang_2010,Statistical analysis,methods
Khang_2010,Results,results
Khang_2010,Discussion,discussion
Khang_2010,all_tables,tables
Khang_2010,all_figure_descriptions,figures
Selvin_2014,Abstract,abstract
Selvin_2014,Methods,methods
Selvin_2014,Study Population,methods
Selvin_2014,Definitions of Diabetes Mellitus and Prediabetes,methods
Selvin_2014,Measurement of hs-cTnT,methods
Selvin_2014,Other Variables,methods
Selvin_2014,"Incident Coronary Heart Disease, Heart Failure, and All-Cause Mortality",methods
Selvin_2014,Statistical Analyses,methods
Selvin_2014,Results,results
Selvin_2014,Discussion,discussion
Selvin_2014,Circulation,discussion
Selvin_2014,all_tables,tables
Selvin_2014,all_figure_descriptions,figures
Tang_2020,Abstract,abstract
Tang_2020,RESEARCH DESIGN AND METHODS,methods
Tang_2020,Study Population,methods
Tang_2020,Assessment of Diabetes Status at Baseline and Definitions,methods
Tang_2020,Assessment of Cardiovascular Disease Status at Baseline and Definitions,methods
Tang_2020,Covariate Assessment and Definitions,methods
Tang_2020,Outcomes,methods
Tang_2020,RESULTS,results
Tang_2020,CONCLUSIONS,discussion
Tang_2020,all_tables,tables
Tang_2020,all_figure_descriptions,figures
Hajebrahimi_2017,Abstract,abstract
Hajebrahimi_2017,INTRODUCTION,intro
Hajebrahimi_2017,PATIENTS AND METHODS,methods
Hajebrahimi_2017,Study population,methods
Hajebrahimi_2017,Clinical and laboratory measurement,methods
Hajebrahimi_2017,Definition of terms,methods
Hajebrahimi_2017,Definition of outcomes,methods
Hajebrahimi_2017,Statistical analysis,methods
Hajebrahimi_2017,RESULTS,results
Hajebrahimi_2017,DISCUSSION,discussion
Hajebrahimi_2017,all_tables,tables
Hajebrahimi_2017,all_figure_descriptions,figures
Nakanishi_2004,Abstract,abstract
Nakanishi_2004,Introduction,intro
Nakanishi_2004,Research design and methods,methods
Nakanishi_2004,Study cohort,methods
Nakanishi_2004,Study design,methods
Nakanishi_2004,Statistical analysis,methods
Nakanishi_2004,Results,results
Nakanishi_2004,Discussion,discussion
Nakanishi_2004,all_tables,tables
Nakanishi_2004,all_figure_descriptions,figures
Oizumi_2008,Abstract,abstract
Oizumi_2008,Introduction,intro
Oizumi_2008,Subjects and methods,methods
Oizumi_2008,Subjects,methods
Oizumi_2008,Statistical methods,methods
Oizumi_2008,Results,results
Oizumi_2008,Clinical characteristics of the study groups,results
Oizumi_2008,IGT is a risk factor for stroke,results
Oizumi_2008,IFG is not a risk factor for stroke,results
Oizumi_2008,Discussion,discussion
Oizumi_2008,all_tables,tables
Oizumi_2008,all_figure_descriptions,figures
Hu_2003,Abstract,abstract
Hu_2003,Subjects and methods,methods
Hu_2003,Results,results
Hu_2003,Discussion,discussion
Hu_2003,all_tables,tables
Hu_2003,all_figure_descriptions,figures
Liu_2007,Abstract,abstract
Liu_2007,Methods,methods
Liu_2007,Subjects,methods
Liu_2007,Ascertainment of CHD and stroke,methods
Liu_2007,Statistical analysis,methods
Liu_2007,Results,results
Liu_2007,American Heart Journal April 2007,results
Liu_2007,Discussion,discussion
Liu_2007,all_tables,tables
Liu_2007,all_figure_descriptions,figures
Hyvarinen_2009,Abstract,abstract
Hyvarinen_2009,Participants and Methods,methods
Hyvarinen_2009,Study Population,methods
Hyvarinen_2009,Definition of the First Stroke Events,methods
Hyvarinen_2009,Statistical Methods,methods
Hyvarinen_2009,Results,results
Hyvarinen_2009,Discussion,discussion
Hyvarinen_2009,all_tables,tables
Hyvarinen_2009,all_figure_descriptions,figures
Onat_2005,Abstract,abstract
Onat_2005,Introduction,intro
Onat_2005,Methods,methods
Onat_2005,Population sample,methods
Onat_2005,"Definitions of IFG, glucose tolerance, DM, GM, and MS",methods
Onat_2005,Measurement of risk factors and validation,methods
Onat_2005,Ascertainment of cause of death and diagnosis of coronary heart disease,methods
Onat_2005,Data analysis,methods
Onat_2005,Results,results
Onat_2005,Features of the 4 groups with normal GM,results
Onat_2005,Incidence of newly developing abnormal GM,results
Onat_2005,Predictors of abnormal GM,results
Onat_2005,Predictors of CVD,results
Onat_2005,Discussion,discussion
Onat_2005,Sex difference in developing obesity or MS relative to the incidence of abnormal GM,discussion
Onat_2005,Hypothesis that men and women have divergent pathways supported,discussion
